GeneA,GeneB,UniprotA,UniprotB,DataSource
PBK,LGALS9,Q96KB5,O00182,BioGrid
LGALS9C,LGALS9,Q6DKI2,O00182,BioGrid
USP39,LGALS9,Q53GS9,O00182,BioGrid
LGALS9,LRP1,O00182,Q07954,BioGrid
LGALS9C,LGALS9,Q6DKI2,O00182,BioGrid
LGALS9,ATP11C,O00182,Q8NB49,BioGrid
LGALS9,ZER1,O00182,Q7Z7L7,BioGrid
LGALS9,MAN2B1,O00182,O00754,BioGrid
LGALS9,NID1,O00182,P14543,BioGrid
PBK,LGALS9,Q96KB5,O00182,BioGrid
LGALS9,DAG1,O00182,Q14118,BioGrid
LGALS9,PTPRJ,O00182,Q12913,BioGrid
LGALS9,LAMA1,O00182,P25391,BioGrid
LGALS9,LAMA4,O00182,Q16363,BioGrid
LGALS9,RRAGB,O00182,Q5VZM2,BioGrid
LGALS9,ITGA4,O00182,P13612,BioGrid
LGALS9,SLC38A9,O00182,Q8NBW4,BioGrid
LGALS9,CSPG4,O00182,Q6UVK1,BioGrid
LGALS9,NID2,O00182,Q14112,BioGrid
LGALS9,CLCN3,O00182,P51790,BioGrid
LGALS9,KIAA1549,O00182,Q9HCM3,BioGrid
LGALS9,OSTM1,O00182,Q86WC4,BioGrid
LGALS9,PODXL,O00182,O00592,BioGrid
LGALS9,IGSF3,O00182,O75054,BioGrid
LGALS9,FN1,O00182,P02751,BioGrid
LGALS9,ATP2B4,O00182,P23634,BioGrid
LGALS9,SLC4A7,O00182,Q9Y6M7,BioGrid
LGALS9,SLC9A6,O00182,Q92581,BioGrid
LGALS9,MET,O00182,P08581,BioGrid
LGALS9,SLC12A6,O00182,Q9UHW9,BioGrid
LGALS9,ATG9A,O00182,Q7Z3C6,BioGrid
LGALS9,SLC9A3R2,O00182,Q15599,BioGrid
LGALS9,ALCAM,O00182,Q13740,BioGrid
LGALS9,ENPP4,O00182,Q9Y6X5,BioGrid
LGALS9,PTPRK,O00182,Q15262,BioGrid
LGALS9,SLC12A7,O00182,Q9Y666,BioGrid
LGALS9,LGALS9B,O00182,Q3B8N2,BioGrid
LGALS9,LNPEP,O00182,Q9UIQ6,BioGrid
LGALS9,CD109,O00182,Q6YHK3,BioGrid
LGALS9,RRAGC,O00182,Q9HB90,BioGrid
LGALS9,KIAA0319L,O00182,Q8IZA0,BioGrid
LGALS9,SLC12A4,O00182,Q9UP95,BioGrid
LGALS9,MRC2,O00182,Q9UBG0,BioGrid
LGALS9,LGALS3,O00182,P17931,BioGrid
LGALS9,PTPN11,O00182,Q06124,BioGrid
LGALS9,FBLN1,O00182,P23142,BioGrid
LGALS9,CD47,O00182,Q08722,BioGrid
LGALS9,ECE1,O00182,P42892,BioGrid
LGALS9,LAMB1,O00182,P07942,BioGrid
LGALS9,C2CD5,O00182,Q86YS7,BioGrid
LGALS9,RNF13,O00182,O43567,BioGrid
LGALS9,SLC6A6,O00182,P31641,BioGrid
LGALS9,TSPAN3,O00182,O60637,BioGrid
LGALS9,MFAP3,O00182,P55082,BioGrid
LGALS9,CD63,O00182,P08962,BioGrid
LGALS9,SLC12A2,O00182,P55011,BioGrid
LGALS9,ACP2,O00182,P11117,BioGrid
LGALS9,ATP13A3,O00182,Q9H7F0,BioGrid
LGALS9,SORL1,O00182,Q92673,BioGrid
LGALS9,COLEC12,O00182,Q5KU26,BioGrid
LGALS9,NAGLU,O00182,P54802,BioGrid
LGALS9,MPZL1,O00182,O95297,BioGrid
LGALS9,CD58,O00182,P19256,BioGrid
LGALS9,PLXNA1,O00182,Q9UIW2,BioGrid
LGALS9,PTGFRN,O00182,Q9P2B2,BioGrid
LGALS9,ITGB1,O00182,P05556,BioGrid
LGALS9,CD276,O00182,Q5ZPR3,BioGrid
NOD2,NOD2,Q9HC29,Q9HC29,BioGrid
NLRC4,NOD2,Q9NPP4,Q9HC29,BioGrid
CASP1,NOD2,P29466,Q9HC29,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
RIPK2,NOD2,O43353,Q9HC29,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
RIPK2,NOD2,O43353,Q9HC29,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
NLRC4,NOD2,Q9NPP4,Q9HC29,BioGrid
NOD2,CASP12,Q9HC29,Q6UXS9,BioGrid
NOD2,TRIM27,Q9HC29,P14373,BioGrid
TRIM27,NOD2,P14373,Q9HC29,BioGrid
TRAF4,NOD2,Q9BUZ4,Q9HC29,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
NOD2,TRAF4,Q9HC29,Q9BUZ4,BioGrid
XIAP,NOD2,P98170,Q9HC29,BioGrid
NOD2,MAP3K7,Q9HC29,O43318,BioGrid
NOD2,MAP3K7,Q9HC29,O43318,BioGrid
SQSTM1,NOD2,Q13501,Q9HC29,BioGrid
TRAF6,NOD2,Q9Y4K3,Q9HC29,BioGrid
MAP3K7,NOD2,O43318,Q9HC29,BioGrid
NOD2,MAP3K7,Q9HC29,O43318,BioGrid
MAP3K7,NOD2,O43318,Q9HC29,BioGrid
NOD2,MAP3K7,Q9HC29,O43318,BioGrid
ATG16L1,NOD2,Q676U5,Q9HC29,BioGrid
SUGT1,NOD2,Q9Y2Z0,Q9HC29,BioGrid
NOD2,UBC,Q9HC29,P0CG48,BioGrid
ATG16L1,NOD2,Q676U5,Q9HC29,BioGrid
NOD2,ATG16L1,Q9HC29,Q676U5,BioGrid
NOD1,NOD2,Q9Y239,Q9HC29,BioGrid
NOD2,NOD1,Q9HC29,Q9Y239,BioGrid
IRGM,NOD2,A1A4Y4,Q9HC29,BioGrid
NOD2,IRGM,Q9HC29,A1A4Y4,BioGrid
NOD2,IRGM,Q9HC29,A1A4Y4,BioGrid
NOD2,CYLD,Q9HC29,Q9NQC7,BioGrid
NOD2,RNF31,Q9HC29,Q96EP0,BioGrid
NOD2,RBCK1,Q9HC29,Q9BYM8,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
NOD2,SHARPIN,Q9HC29,Q9H0F6,BioGrid
NOD2,TNFAIP3,Q9HC29,P21580,BioGrid
NOD2,RNF31,Q9HC29,Q96EP0,BioGrid
NOD2,RBCK1,Q9HC29,Q9BYM8,BioGrid
NOD2,SHARPIN,Q9HC29,Q9H0F6,BioGrid
NOD2,GALNT2,Q9HC29,Q10471,BioGrid
NOD2,FIS1,Q9HC29,Q9Y3D6,BioGrid
NOD2,TLE1,Q9HC29,Q04724,BioGrid
NOD2,VIM,Q9HC29,P08670,BioGrid
NOD2,KAT5,Q9HC29,Q92993,BioGrid
NOD2,PPP2R5E,Q9HC29,Q16537,BioGrid
NOD2,GALNT2,Q9HC29,Q10471,BioGrid
NOD2,FIS1,Q9HC29,Q9Y3D6,BioGrid
NOD2,TLE1,Q9HC29,Q04724,BioGrid
NOD2,VIM,Q9HC29,P08670,BioGrid
NOD2,KAT5,Q9HC29,Q92993,BioGrid
NOD2,PPP2R5E,Q9HC29,Q16537,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
NOD2,BIRC2,Q9HC29,Q13490,BioGrid
NOD2,BIRC3,Q9HC29,Q13489,BioGrid
NOD2,NAT16,Q9HC29,Q8N8M0,BioGrid
NOD2,XIAP,Q9HC29,P98170,BioGrid
NOD2,IKBKG,Q9HC29,Q9Y6K9,BioGrid
NOD2,RIPK1,Q9HC29,Q13546,BioGrid
NOD2,RNF31,Q9HC29,Q96EP0,BioGrid
NOD2,RBCK1,Q9HC29,Q9BYM8,BioGrid
NOD2,SHARPIN,Q9HC29,Q9H0F6,BioGrid
NOD2,COPS6,Q9HC29,Q7L5N1,BioGrid
NOS2,NOS2,P35228,P35228,BioGrid
NOS2,NOS2,P35228,P35228,BioGrid
NOS2,NOS2,P35228,P35228,BioGrid
NOS2,UCHL5,P35228,Q9Y5K5,BioGrid
SPSB2,NOS2,Q99619,P35228,BioGrid
SPSB2,NOS2,Q99619,P35228,BioGrid
SPSB4,NOS2,Q96A44,P35228,BioGrid
SPSB1,NOS2,Q96BD6,P35228,BioGrid
NOS2,SPSB1,P35228,Q96BD6,BioGrid
NOS2,SPSB4,P35228,Q96A44,BioGrid
SPSB1,NOS2,Q96BD6,P35228,BioGrid
SPSB4,NOS2,Q96A44,P35228,BioGrid
NOS2,SPSB1,P35228,Q96BD6,BioGrid
NOS2,SPSB2,P35228,Q99619,BioGrid
NOS2,ELOC,P35228,Q15369,BioGrid
NOS2,CUL5,P35228,Q93034,BioGrid
ELOC,NOS2,Q15369,P35228,BioGrid
SPSB2,NOS2,Q99619,P35228,BioGrid
SPSB2,NOS2,Q99619,P35228,BioGrid
SPSB2,NOS2,Q99619,P35228,BioGrid
NOS2,SPSB2,P35228,Q99619,BioGrid
NOS2,SPSB1,P35228,Q96BD6,BioGrid
SPSB1,NOS2,Q96BD6,P35228,BioGrid
NOS2,SLC9A3R1,P35228,O14745,BioGrid
RAC2,NOS2,P15153,P35228,BioGrid
NOS2,RAC2,P35228,P15153,BioGrid
NOS2,RAC1,P35228,P63000,BioGrid
NOS2,RAC2,P35228,P15153,BioGrid
CAV1,NOS2,Q03135,P35228,BioGrid
CAV1,NOS2,Q03135,P35228,BioGrid
NOS2,STUB1,P35228,Q9UNE7,BioGrid
CALM1,NOS2,P0DP23,P35228,BioGrid
CALM1,NOS2,P0DP23,P35228,BioGrid
NOS2,HSP90AA1,P35228,P07900,BioGrid
HSP90AA1,NOS2,P07900,P35228,BioGrid
NOS2,YWHAE,P35228,P62258,BioGrid
NOS2,YWHAG,P35228,P61981,BioGrid
NOS2,YWHAQ,P35228,P27348,BioGrid
NOS2,YWHAZ,P35228,P63104,BioGrid
NOS2,PPP2R1A,P35228,P30153,BioGrid
NOS2,SLC3A2,P35228,P08195,BioGrid
NOS2,SLC25A5,P35228,P05141,BioGrid
NOS2,AIFM1,P35228,O95831,BioGrid
NOS2,AKR1B10,P35228,O60218,BioGrid
NOS2,ALDH1A1,P35228,P00352,BioGrid
NOS2,ASPH,P35228,Q12797,BioGrid
NOS2,ATP2A2,P35228,P16615,BioGrid
NOS2,C1QBP,P35228,Q07021,BioGrid
NOS2,HSPD1,P35228,P10809,BioGrid
NOS2,DDX3X,P35228,O00571,BioGrid
NOS2,DNAJA1,P35228,P31689,BioGrid
NOS2,DNAJA2,P35228,O60884,BioGrid
NOS2,DNAJC7,P35228,Q99615,BioGrid
NOS2,EMD,P35228,P50402,BioGrid
NOS2,FASN,P35228,P49327,BioGrid
NOS2,HSPA9,P35228,P38646,BioGrid
NOS2,HSPA5,P35228,P11021,BioGrid
NOS2,HKDC1,P35228,Q2TB90,BioGrid
NOS2,HNRNPF,P35228,P52597,BioGrid
NOS2,HSPH1,P35228,Q92598,BioGrid
NOS2,HSP90AA1,P35228,P07900,BioGrid
NOS2,HSP90AB1,P35228,P08238,BioGrid
NOS2,HSPA2,P35228,P54652,BioGrid
NOS2,HSPA4,P35228,P34932,BioGrid
NOS2,HSPB1,P35228,P04792,BioGrid
NOS2,HUWE1,P35228,Q7Z6Z7,BioGrid
NOS2,KPNB1,P35228,Q14974,BioGrid
NOS2,KRT18,P35228,P05783,BioGrid
NOS2,SLC7A5,P35228,Q01650,BioGrid
NOS2,SLC25A3,P35228,Q00325,BioGrid
NOS2,NAP1L1,P35228,P55209,BioGrid
NOS2,NPM1,P35228,P06748,BioGrid
NOS2,PCBP1,P35228,Q15365,BioGrid
NOS2,PRKDC,P35228,P78527,BioGrid
NOS2,PSMC6,P35228,P62333,BioGrid
NOS2,PSMC1,P35228,P62191,BioGrid
NOS2,PSMC3,P35228,P17980,BioGrid
NOS2,PSMC4,P35228,P43686,BioGrid
NOS2,PSMC2,P35228,P35998,BioGrid
NOS2,PSMC5,P35228,P62195,BioGrid
NOS2,PSMA1,P35228,P25786,BioGrid
NOS2,PSMA2,P35228,P25787,BioGrid
NOS2,PSMA3,P35228,P25788,BioGrid
NOS2,PSMA5,P35228,P28066,BioGrid
NOS2,PSMA6,P35228,P60900,BioGrid
NOS2,PSMA7,P35228,O14818,BioGrid
NOS2,PSMB7,P35228,Q99436,BioGrid
NOS2,PSMD11,P35228,O00231,BioGrid
NOS2,PSMD12,P35228,O00232,BioGrid
NOS2,PSMD13,P35228,Q9UNM6,BioGrid
NOS2,PSMD7,P35228,P51665,BioGrid
NOS2,PSMD2,P35228,Q13200,BioGrid
NOS2,PSMD3,P35228,O43242,BioGrid
NOS2,PSMD6,P35228,Q15008,BioGrid
NOS2,PSMD8,P35228,P48556,BioGrid
NOS2,CAD,P35228,P27708,BioGrid
NOS2,RCN1,P35228,Q15293,BioGrid
NOS2,RPL23,P35228,P62829,BioGrid
NOS2,RPL31,P35228,P62899,BioGrid
NOS2,RPL5,P35228,P46777,BioGrid
NOS2,RPL7,P35228,P18124,BioGrid
NOS2,HNRNPA1,P35228,P09651,BioGrid
NOS2,RPS17,P35228,P08708,BioGrid
NOS2,RPS18,P35228,P62269,BioGrid
NOS2,RPS3A,P35228,P61247,BioGrid
NOS2,RPS3,P35228,P23396,BioGrid
NOS2,RPS4X,P35228,P62701,BioGrid
NOS2,SNRPB,P35228,P14678,BioGrid
NOS2,RUVBL2,P35228,Q9Y230,BioGrid
NOS2,SKP1,P35228,P63208,BioGrid
NOS2,SQOR,P35228,Q9Y6N5,BioGrid
NOS2,SSBP1,P35228,Q04837,BioGrid
NOS2,SSR4,P35228,P51571,BioGrid
NOS2,STIP1,P35228,P31948,BioGrid
NOS2,TCP1,P35228,P17987,BioGrid
NOS2,CCT2,P35228,P78371,BioGrid
NOS2,CCT4,P35228,P50991,BioGrid
NOS2,CCT5,P35228,P48643,BioGrid
NOS2,CCT3,P35228,P49368,BioGrid
NOS2,CCT7,P35228,Q99832,BioGrid
NOS2,CCT8,P35228,P50990,BioGrid
NOS2,CCT6A,P35228,P40227,BioGrid
NOS2,VCP,P35228,P55072,BioGrid
NOS2,TIMM50,P35228,Q3ZCQ8,BioGrid
NOS2,YBX1,P35228,P67809,BioGrid
NOS2,CALM1,P35228,P0DP23,BioGrid
NOS2,CALU,P35228,O43852,BioGrid
NOS2,ELOB,P35228,Q15370,BioGrid
NOS2,FAT1,P35228,Q14517,BioGrid
NOS2,HERC1,P35228,Q15751,BioGrid
NOS2,CLNS1A,P35228,P54105,BioGrid
NOS2,MYCBP2,P35228,O75592,BioGrid
NOS2,QPCTL,P35228,Q9NXS2,BioGrid
NOS2,ALDH3B1,P35228,P43353,BioGrid
NOS2,BAG2,P35228,O95816,BioGrid
NOS2,CDIPT,P35228,O14735,BioGrid
NOS2,CUL5,P35228,Q93034,BioGrid
NOS2,DICER1,P35228,Q9UPY3,BioGrid
NOS2,DNAJA3,P35228,Q96EY1,BioGrid
NOS2,LGALS3BP,P35228,Q08380,BioGrid
NOS2,PARP4,P35228,Q9UKK3,BioGrid
NOS2,PPM1B,P35228,O75688,BioGrid
NOS2,PPP6C,P35228,O00743,BioGrid
NOS2,PSMD14,P35228,O00487,BioGrid
NOS2,PSMD4,P35228,P55036,BioGrid
NOS2,RCN2,P35228,Q14257,BioGrid
NOS2,TUBB6,P35228,Q9BUF5,BioGrid
NOS2,TNFAIP2,P35228,Q03169,BioGrid
NOS2,UCHL5,P35228,Q9Y5K5,BioGrid
NOS2,COPRS,P35228,Q9NQ92,BioGrid
NOS2,FBXO45,P35228,P0C2W1,BioGrid
NOS2,HSPA6,P35228,P17066,BioGrid
NOS2,ICAM1,P35228,P05362,BioGrid
NOS2,ZSWIM8,P35228,A7E2V4,BioGrid
NOS2,KRT8,P35228,P05787,BioGrid
NOS2,KRT81,P35228,Q14533,BioGrid
NOS2,SERPINE1,P35228,P05121,BioGrid
NOS2,SPSB1,P35228,Q96BD6,BioGrid
NOS2,AGR2,P35228,O95994,BioGrid
NOS2,XRCC5,P35228,P13010,BioGrid
NOS2,NME2,P35228,P22392,BioGrid
NOS2,PCBP2,P35228,Q15366,BioGrid
NOS2,PLEC,P35228,Q15149,BioGrid
NOS2,PSMA4,P35228,P25789,BioGrid
NOS2,HACD3,P35228,Q9P035,BioGrid
NOS2,PTBP1,P35228,P26599,BioGrid
NOS2,TRIM21,P35228,P19474,BioGrid
NOS2,SNRPD3,P35228,P62318,BioGrid
NOS2,SMN1,P35228,Q16637,BioGrid
NOS2,SPSB2,P35228,Q99619,BioGrid
NOS2,STRAP,P35228,Q9Y3F4,BioGrid
NOS2,PTGES3,P35228,Q15185,BioGrid
FBXO45,NOS2,P0C2W1,P35228,BioGrid
NOS2,FBXO45,P35228,P0C2W1,BioGrid
PEX5,NOS2,P50542,P35228,BioGrid
SPSB2,NOS2,Q99619,P35228,BioGrid
PTPN22,PTPN22,Q9Y2R2,Q9Y2R2,BioGrid
PTPN22,PTPN22,Q9Y2R2,Q9Y2R2,BioGrid
PTPN22,GRB2,Q9Y2R2,P62993,BioGrid
PTPN22,SPTA1,Q9Y2R2,P02549,BioGrid
PTPN22,VCP,Q9Y2R2,P55072,BioGrid
PTPN22,VAV1,Q9Y2R2,P15498,BioGrid
PTPN22,ZAP70,Q9Y2R2,P43403,BioGrid
PTPN22,LCK,Q9Y2R2,P06239,BioGrid
PTPN22,ACTA1,Q9Y2R2,P68133,BioGrid
PTPN22,CD3E,Q9Y2R2,P07766,BioGrid
PTPN22,ZAP70,Q9Y2R2,P43403,BioGrid
PTPN22,LCK,Q9Y2R2,P06239,BioGrid
PTPN22,CD3E,Q9Y2R2,P07766,BioGrid
PTPN22,CD247,Q9Y2R2,P20963,BioGrid
PTPN22,CBL,Q9Y2R2,P22681,BioGrid
EGFR,PTPN22,P00533,Q9Y2R2,BioGrid
SRPK2,PTPN22,P78362,Q9Y2R2,BioGrid
CLK1,PTPN22,P49759,Q9Y2R2,BioGrid
EGFR,PTPN22,P00533,Q9Y2R2,BioGrid
EGFR,PTPN22,P00533,Q9Y2R2,BioGrid
PTPN22,PSTPIP2,Q9Y2R2,Q9H939,BioGrid
PTPN22,CSK,Q9Y2R2,P41240,BioGrid
PTPN22,MAD2L1BP,Q9Y2R2,Q15013,BioGrid
PTPN22,NDUFB10,Q9Y2R2,O96000,BioGrid
PTPN22,PRKAR2A,Q9Y2R2,P13861,BioGrid
PTPN22,AKR7A2,Q9Y2R2,O43488,BioGrid
PTPN22,NDUFA9,Q9Y2R2,Q16795,BioGrid
PTPN22,CALR,Q9Y2R2,P27797,BioGrid
PTPN22,CALU,Q9Y2R2,O43852,BioGrid
PTPN22,SLC25A19,Q9Y2R2,Q9HC21,BioGrid
PTPN22,SDF4,Q9Y2R2,Q9BRK5,BioGrid
PTPN22,MAIP1,Q9Y2R2,Q8WWC4,BioGrid
PTPN22,RPS19BP1,Q9Y2R2,Q86WX3,BioGrid
PTPN22,SFXN4,Q9Y2R2,Q6P4A7,BioGrid
PTPN22,EIF3E,Q9Y2R2,P60228,BioGrid
PTPN22,HSPB1,Q9Y2R2,P04792,BioGrid
PTPN22,RCN1,Q9Y2R2,Q15293,BioGrid
PTPN22,ACAD8,Q9Y2R2,Q9UKU7,BioGrid
PTPN22,GLUD1,Q9Y2R2,P00367,BioGrid
PTPN22,HAX1,Q9Y2R2,O00165,BioGrid
PTPN22,SCO2,Q9Y2R2,O43819,BioGrid
PTPN22,PSTPIP2,Q9Y2R2,Q9H939,BioGrid
PTPN22,TBC1D31,Q9Y2R2,Q96DN5,BioGrid
PTPN22,KIF7,Q9Y2R2,Q2M1P5,BioGrid
PTPN22,CSK,Q9Y2R2,P41240,BioGrid
PTPN22,LZTS2,Q9Y2R2,Q9BRK4,BioGrid
PTPN22,CEP131,Q9Y2R2,Q9UPN4,BioGrid
PTPN22,PIBF1,Q9Y2R2,Q8WXW3,BioGrid
PTPN22,KIAA0753,Q9Y2R2,Q2KHM9,BioGrid
PTPN22,MIB1,Q9Y2R2,Q86YT6,BioGrid
PTPN22,MED4,Q9Y2R2,Q9NPJ6,BioGrid
PTPN22,SSX2IP,Q9Y2R2,Q9Y2D8,BioGrid
PTPN22,CCDC138,Q9Y2R2,Q96M89,BioGrid
PPM1B,RASGRP1,O75688,O95267,BioGrid
VHL,RASGRP1,P40337,O95267,BioGrid
DGKZ,RASGRP1,Q13574,O95267,BioGrid
ABCB8,RASGRP1,Q9NUT2,O95267,BioGrid
RIPK2,RIPK2,O43353,O43353,BioGrid
RIPK2,RIPK2,O43353,O43353,BioGrid
RIPK2,RIPK2,O43353,O43353,BioGrid
BIRC2,RIPK2,Q13490,O43353,BioGrid
BIRC3,RIPK2,Q13489,O43353,BioGrid
RIPK2,BIRC3,O43353,Q13489,BioGrid
BIRC2,RIPK2,Q13490,O43353,BioGrid
RIPK2,BIRC2,O43353,Q13490,BioGrid
CARD6,RIPK2,Q9BX69,O43353,BioGrid
RIPK2,KCTD12,O43353,Q96CX2,BioGrid
RIPK2,PHB2,O43353,Q99623,BioGrid
RIPK2,RPS14,O43353,P62263,BioGrid
RIPK2,RPL38,O43353,P63173,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
MAVS,RIPK2,Q7Z434,O43353,BioGrid
RIPK2,TRAF2,O43353,Q12933,BioGrid
MAVS,RIPK2,Q7Z434,O43353,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
RIPK2,NOD2,O43353,Q9HC29,BioGrid
RIPK2,IKBKG,O43353,Q9Y6K9,BioGrid
RIPK2,MAP3K7,O43353,O43318,BioGrid
RIPK2,TAB1,O43353,Q15750,BioGrid
RIPK2,TAB2,O43353,Q9NYJ8,BioGrid
BIRC2,RIPK2,Q13490,O43353,BioGrid
BIRC3,RIPK2,Q13489,O43353,BioGrid
XIAP,RIPK2,P98170,O43353,BioGrid
BIRC2,RIPK2,Q13490,O43353,BioGrid
BIRC3,RIPK2,Q13489,O43353,BioGrid
BIRC2,RIPK2,Q13490,O43353,BioGrid
BIRC3,RIPK2,Q13489,O43353,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
RIPK2,NOD2,O43353,Q9HC29,BioGrid
NOD1,RIPK2,Q9Y239,O43353,BioGrid
RIPK2,IKBKG,O43353,Q9Y6K9,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
RIPK2,TRAF5,O43353,O00463,BioGrid
RIPK2,TRAF6,O43353,Q9Y4K3,BioGrid
RIPK2,BIRC2,O43353,Q13490,BioGrid
RIPK2,TNFRSF1A,O43353,P19438,BioGrid
CD40,RIPK2,P25942,O43353,BioGrid
TRAF1,RIPK2,Q13077,O43353,BioGrid
RIPK2,TRAF2,O43353,Q12933,BioGrid
BIRC2,RIPK2,Q13490,O43353,BioGrid
BIRC3,RIPK2,Q13489,O43353,BioGrid
CASP1,RIPK2,P29466,O43353,BioGrid
UBE2I,RIPK2,P63279,O43353,BioGrid
RIPK2,CFLAR,O43353,O15519,BioGrid
RIPK2,CASP12,O43353,Q6UXS9,BioGrid
RIPK2,TRAF6,O43353,Q9Y4K3,BioGrid
CASP12,RIPK2,Q6UXS9,O43353,BioGrid
MAP3K4,RIPK2,Q9Y6R4,O43353,BioGrid
TRAF4,RIPK2,Q9BUZ4,O43353,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
TRAF6,RIPK2,Q9Y4K3,O43353,BioGrid
RIPK2,XIAP,O43353,P98170,BioGrid
RIPK2,XIAP,O43353,P98170,BioGrid
XIAP,RIPK2,P98170,O43353,BioGrid
MAP3K7,RIPK2,O43318,O43353,BioGrid
RIPK2,MAP3K7,O43353,O43318,BioGrid
RIPK2,NOD1,O43353,Q9Y239,BioGrid
MAP3K7,RIPK2,O43318,O43353,BioGrid
MAP3K7,RIPK2,O43318,O43353,BioGrid
RIPK2,UBC,O43353,P0CG48,BioGrid
RIPK2,XIAP,O43353,P98170,BioGrid
CHUK,RIPK2,O15111,O43353,BioGrid
LRRK2,RIPK2,Q5S007,O43353,BioGrid
RIPK2,LRRK2,O43353,Q5S007,BioGrid
TRAF3,RIPK2,Q13114,O43353,BioGrid
TRAF3,RIPK2,Q13114,O43353,BioGrid
TRAF3,RIPK2,Q13114,O43353,BioGrid
RIPK2,TRAF3,O43353,Q13114,BioGrid
RIPK2,KDM3A,O43353,Q9Y4C1,BioGrid
RIPK2,PRMT2,O43353,P55345,BioGrid
XIAP,RIPK2,P98170,O43353,BioGrid
NOD1,RIPK2,Q9Y239,O43353,BioGrid
SHMT2,RIPK2,P34897,O43353,BioGrid
MOV10,RIPK2,Q9HCE1,O43353,BioGrid
NXF1,RIPK2,Q9UBU9,O43353,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
IRF4,RIPK2,Q15306,O43353,BioGrid
IRF4,RIPK2,Q15306,O43353,BioGrid
RIPK2,IRF4,O43353,Q15306,BioGrid
FGFR1OP,RIPK2,O95684,O43353,BioGrid
CARD16,RIPK2,Q5EG05,O43353,BioGrid
XIAP,RIPK2,P98170,O43353,BioGrid
XIAP,RIPK2,P98170,O43353,BioGrid
RIPK2,PELI3,O43353,Q8N2H9,BioGrid
PELI3,RIPK2,Q8N2H9,O43353,BioGrid
PELI3,RIPK2,Q8N2H9,O43353,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
RIPK2,NAT16,O43353,Q8N8M0,BioGrid
RIPK2,XIAP,O43353,P98170,BioGrid
RIPK2,RIPK1,O43353,Q13546,BioGrid
RIPK2,RNF31,O43353,Q96EP0,BioGrid
UBC,RIPK2,P0CG48,O43353,BioGrid
SP140,Sertad1,Q13342,,BioGrid
SPRED1,TESK1,7Z699,Q15569,BioGrid
OSGEP,SPRED1,Q9NPF4,7Z699,BioGrid
PPP1CA,SPRED1,P62136,7Z699,BioGrid
FAM118B,SPRED1,Q9BPY3,7Z699,BioGrid
TTC19,SPRED1,Q6DKK2,7Z699,BioGrid
DNAJB11,SPRED1,Q9UBS4,7Z699,BioGrid
CDKN1A,SPRED1,P38936,7Z699,BioGrid
NAGK,SPRED1,Q9UJ70,7Z699,BioGrid
RCC1,SPRED1,P18754,7Z699,BioGrid
TSC22D1,SPRED1,Q15714,7Z699,BioGrid
PPP1CA,SPRED1,P62136,7Z699,BioGrid
SPRED1,SUV39H1,7Z699,O43463,BioGrid
ZDHHC17,SPRED1,Q8IUH5,7Z699,BioGrid
ZDHHC17,SPRED1,Q8IUH5,7Z699,BioGrid
SPRED1,ZDHHC17,7Z699,Q8IUH5,BioGrid
FBXW7,SPRED1,Q969H0,7Z699,BioGrid
ELAVL1,SPRED1,Q15717,7Z699,BioGrid
CDH1,SPRED1,P12830,7Z699,BioGrid
PPP1CA,SPRED1,P62136,7Z699,BioGrid
CRHR1,UCN,P34998,P55089,BioGrid
CRHBP,UCN,P24387,P55089,BioGrid
UCN,CRHR1,P55089,P34998,BioGrid
Crhr2,UCN,,P55089,BioGrid
UCN,Crhr1,P55089,,BioGrid
UCN,Crhr2,P55089,,BioGrid
IRGM,DDX58,A1A4Y4,O95786,IID
IRGM,ULK1,A1A4Y4,O75385,IID
IRGM,NOD1,A1A4Y4,Q9Y239,IID
IRGM,NPHS2,A1A4Y4,Q9NP85,IID
IRGM,IRGM,A1A4Y4,A1A4Y4,IID
IRGM,AMBRA1,A1A4Y4,Q9C0C7,IID
IRGM,TLR3,A1A4Y4,O15455,IID
IRGM,HSD3B7,A1A4Y4,Q9H2F3,IID
IRGM,BECN1,A1A4Y4,Q14457,IID
IRGM,YWHAE,A1A4Y4,P62258,IID
IRGM,NOD2,A1A4Y4,Q9HC29,IID
IRGM,ATG16L1,A1A4Y4,Q676U5,IID
IRGM,ATG14,A1A4Y4,Q6ZNE5,IID
SH3PXD2B,FASLG,A1X283,P48023,IID
SH3PXD2B,SPRED1,A1X283,7Z699,IID
GRIFIN,LGALS9,A4D1Z8,O00182,IID
